scf	len	male_coverage	female_coverage	chr
LJIJ01007073.1	8056	47.14	48.93	X
LJIJ01007074.1	8053	89.12	25.30	A
LJIJ01007075.1	8052	78.91	37.86	A
LJIJ01007076.1	8046	81.90	46.69	A
LJIJ01007077.1	8046	38.01	18.82	A
LJIJ01007078.1	8044	30.90	21.06	A
LJIJ01007079.1	8039	61.64	67.15	X
LJIJ01007080.1	8039	118.42	67.95	A
LJIJ01007081.1	8037	3.89	6.61	X
LJIJ01007082.1	8037	32.83	14.66	A
LJIJ01007083.1	8033	42.92	36.69	X
LJIJ01007084.1	8032	50.02	20.40	A
LJIJ01007085.1	8026	88.89	46.35	A
LJIJ01007086.1	8025	61.65	34.78	A
LJIJ01007087.1	8023	102.30	69.53	A
LJIJ01007088.1	8023	45.04	193.12	X
LJIJ01007089.1	8021	78.81	79.71	X
LJIJ01007090.1	8018	74.98	63.03	X
LJIJ01007091.1	8017	111.21	50.10	A
LJIJ01007092.1	8016	29.62	52.58	X
LJIJ01007093.1	8014	45.24	25.36	A
LJIJ01007094.1	8012	94.25	40.71	A
LJIJ01007095.1	8011	62.30	49.83	A
LJIJ01007096.1	8008	66.89	34.47	A
LJIJ01007097.1	8005	15.54	10.95	A
LJIJ01007098.1	8002	54.16	50.87	X
LJIJ01007099.1	8001	11.51	16.19	X
LJIJ01007100.1	7996	53.88	33.04	A
LJIJ01007101.1	7992	143.18	51.22	A
LJIJ01007102.1	7990	106.63	22.93	A
LJIJ01007103.1	7990	60.13	29.05	A
LJIJ01007104.1	7989	13.83	7.74	A
LJIJ01007105.1	7989	107.88	47.76	A
LJIJ01007106.1	7989	74.77	45.93	A
LJIJ01007107.1	7987	314.25	34.88	A
LJIJ01007108.1	7987	52.19	28.72	A
LJIJ01007109.1	7983	27.56	21.01	A
LJIJ01007110.1	7978	74.47	27.48	A
LJIJ01007111.1	7972	19.67	11.87	A
LJIJ01007112.1	7971	50.48	21.10	A
LJIJ01007113.1	7968	32.68	23.72	A
LJIJ01007114.1	7967	71.30	46.62	A
LJIJ01007115.1	7966	128.36	37.39	A
LJIJ01007116.1	7965	57.85	23.63	A
LJIJ01007117.1	7964	40.41	25.76	A
LJIJ01007118.1	7964	25.64	38.58	X
LJIJ01007119.1	7956	126.97	51.84	A
LJIJ01007120.1	7954	25.10	18.89	A
LJIJ01007121.1	7952	101.90	54.76	A
LJIJ01007122.1	7940	18.17	27.75	X
LJIJ01007123.1	7939	31.24	35.46	X
LJIJ01007124.1	7938	51.09	29.82	A
LJIJ01007125.1	7936	0.31	35.78	X
LJIJ01007126.1	7935	71.74	26.61	A
LJIJ01007127.1	7924	118.19	45.86	A
LJIJ01007128.1	7918	94.65	45.22	A
LJIJ01007129.1	7918	3.66	25.49	X
LJIJ01007130.1	7916	107.15	47.11	A
LJIJ01007131.1	7916	28.51	25.97	X
LJIJ01007132.1	7914	124.79	41.30	A
LJIJ01007133.1	7913	30.19	21.90	A
LJIJ01007134.1	7913	793.44	396.95	A
LJIJ01007135.1	7912	0.03	33.37	X
LJIJ01007136.1	7911	121.38	80.39	A
LJIJ01007137.1	7909	45.58	24.76	A
LJIJ01007138.1	7907	43.99	18.34	A
LJIJ01007139.1	7907	47.57	27.09	A
LJIJ01007140.1	7905	35.95	31.99	X
LJIJ01007141.1	7904	12.54	17.19	X
LJIJ01007142.1	7903	22.23	19.78	X
LJIJ01007143.1	7901	27.42	5.58	A
LJIJ01007144.1	7900	32.71	41.79	X
LJIJ01007145.1	7900	18.94	71.48	X
LJIJ01007146.1	7899	56.40	23.36	A
LJIJ01007147.1	7897	37.60	65.43	X
LJIJ01007148.1	7895	59.30	34.43	A
LJIJ01007149.1	7893	26.04	20.99	A
LJIJ01007150.1	7890	105.25	46.91	A
LJIJ01007151.1	7888	78.51	61.25	A
LJIJ01007152.1	7888	90.46	35.24	A
LJIJ01007153.1	7886	11.55	56.64	X
LJIJ01007154.1	7885	72.26	31.39	A
LJIJ01007155.1	7873	150.06	64.86	A
LJIJ01007156.1	7872	111.06	47.96	A
LJIJ01007157.1	7870	37.75	49.14	X
LJIJ01007158.1	7868	130.82	83.85	A
LJIJ01007159.1	7862	154.34	48.16	A
LJIJ01007160.1	7861	20.35	10.84	A
LJIJ01007161.1	7860	54.93	30.25	A
LJIJ01007162.1	7860	109.01	47.40	A
LJIJ01007163.1	7857	25.49	27.01	X
LJIJ01007164.1	7856	69.98	61.71	X
LJIJ01007165.1	7856	47.15	19.45	A
LJIJ01007166.1	7851	47.97	33.91	A
LJIJ01007167.1	7844	93.67	9.83	A
LJIJ01007168.1	7842	59.19	20.93	A
LJIJ01007169.1	7842	68.10	34.19	A
LJIJ01007170.1	7834	52.35	28.98	A
LJIJ01007172.1	7832	10.90	54.01	X
LJIJ01007173.1	7830	41.18	16.77	A
LJIJ01007174.1	7827	22.34	16.48	A
LJIJ01007175.1	7827	63.43	51.07	A
LJIJ01007176.1	7823	125.63	75.96	A
LJIJ01007177.1	7813	6.38	57.52	X
LJIJ01007178.1	7813	28.93	15.98	A
LJIJ01007179.1	7811	63.51	25.82	A
LJIJ01007180.1	7808	1521.07	634.03	A
LJIJ01007181.1	7807	36.54	42.99	X
LJIJ01007182.1	7806	3.47	56.13	X
LJIJ01007183.1	7804	125.18	75.26	A
LJIJ01007184.1	7800	23.23	33.07	X
LJIJ01007185.1	7799	103.90	29.75	A
LJIJ01007186.1	7797	599.78	79.97	A
LJIJ01007187.1	7794	32.58	29.09	X
LJIJ01007188.1	7791	28.48	13.18	A
LJIJ01007189.1	7786	28.48	17.57	A
LJIJ01007190.1	7784	458.82	141.72	A
LJIJ01007191.1	7784	63.36	23.64	A
LJIJ01007192.1	7782	52.45	16.89	A
LJIJ01007193.1	7779	43.92	22.64	A
LJIJ01007194.1	7778	49.49	29.09	A
LJIJ01007195.1	7778	75.00	68.39	X
LJIJ01007196.1	7777	125.67	40.56	A
LJIJ01007197.1	7777	130.76	39.61	A
LJIJ01007198.1	7776	63.70	35.33	A
LJIJ01007199.1	7776	37.28	46.88	X
LJIJ01007200.1	7774	24.86	30.87	X
LJIJ01007201.1	7771	170.02	28.20	A
LJIJ01007202.1	7771	193.21	400.94	X
LJIJ01007203.1	7770	130.27	59.72	A
LJIJ01007204.1	7770	31.00	18.53	A
LJIJ01007205.1	7769	64.13	55.03	X
LJIJ01007206.1	7767	62.84	33.79	A
LJIJ01007207.1	7765	70.78	33.61	A
LJIJ01007208.1	7764	52.82	47.00	X
LJIJ01007209.1	7764	100.17	49.88	A
LJIJ01007210.1	7760	97.27	30.52	A
LJIJ01007211.1	7759	10.41	15.34	X
LJIJ01007212.1	7755	30.94	27.77	X
LJIJ01007213.1	7754	18.94	19.40	X
LJIJ01007214.1	7751	45.13	18.96	A
LJIJ01007215.1	7747	50.84	36.95	A
LJIJ01007216.1	7743	70.17	53.92	A
LJIJ01007217.1	7741	41.30	26.92	A
LJIJ01007218.1	7738	14.41	15.32	X
LJIJ01007219.1	7735	159.37	7.07	A
LJIJ01007220.1	7732	94.08	45.13	A
LJIJ01007221.1	7729	93.20	29.62	A
LJIJ01007222.1	7727	176.40	53.91	A
LJIJ01007223.1	7726	83.35	50.40	A
LJIJ01007224.1	7726	8.88	9.83	X
LJIJ01007225.1	7724	9.42	10.12	X
LJIJ01007226.1	7714	136.85	96.61	A
LJIJ01007227.1	7713	26.03	16.06	A
LJIJ01007228.1	7713	49.35	37.73	A
LJIJ01007229.1	7713	65.54	55.86	X
LJIJ01007230.1	7706	88.50	80.45	X
LJIJ01007231.1	7704	152.81	116.28	A
LJIJ01007232.1	7698	7.76	4.43	A
LJIJ01007233.1	7697	117.12	9.22	A
LJIJ01007234.1	7696	65.52	28.40	A
LJIJ01007235.1	7693	87.78	17.21	A
LJIJ01007236.1	7693	30.50	8.34	A
LJIJ01007237.1	7693	11.32	14.84	X
LJIJ01007238.1	7692	19.95	230.87	X
LJIJ01007239.1	7691	52.64	20.42	A
LJIJ01007240.1	7691	43.89	38.10	X
LJIJ01007241.1	7686	7.45	53.48	X
LJIJ01007242.1	7676	27.97	62.87	X
LJIJ01007243.1	7674	43.25	31.21	A
LJIJ01007244.1	7666	27.91	14.54	A
LJIJ01007245.1	7665	56.33	25.49	A
LJIJ01007246.1	7662	34.10	34.58	X
LJIJ01007247.1	7658	21.17	14.69	A
LJIJ01007248.1	7656	32.10	28.70	X
LJIJ01007249.1	7653	34.15	18.86	A
LJIJ01007250.1	7648	87.11	41.57	A
LJIJ01007251.1	7647	82.04	21.57	A
LJIJ01007252.1	7647	16.32	9.00	A
LJIJ01007253.1	7643	154.44	31.47	A
LJIJ01007254.1	7643	73.06	30.91	A
LJIJ01007255.1	7643	19.29	20.21	X
LJIJ01007256.1	7639	62.69	13.92	A
LJIJ01007257.1	7636	74.96	23.62	A
LJIJ01007258.1	7636	37.51	30.61	A
LJIJ01007259.1	7636	57.00	25.37	A
LJIJ01007260.1	7629	43.66	18.25	A
LJIJ01007261.1	7626	24.28	15.53	A
LJIJ01007262.1	7624	157.71	82.41	A
LJIJ01007263.1	7622	93.39	52.21	A
LJIJ01007264.1	7622	49.42	28.77	A
LJIJ01007265.1	7617	95.13	38.05	A
LJIJ01007266.1	7614	257.13	63.42	A
LJIJ01007267.1	7614	97.86	44.60	A
LJIJ01007268.1	7613	66.96	31.99	A
LJIJ01007269.1	7606	84.87	37.68	A
LJIJ01007270.1	7605	44.40	48.44	X
LJIJ01007271.1	7605	47.97	14.87	A
LJIJ01007272.1	7598	73.71	46.91	A
LJIJ01007273.1	7594	46.95	26.03	A
LJIJ01007274.1	7587	0.73	56.67	X
LJIJ01007275.1	7584	95.34	46.11	A
LJIJ01007276.1	7581	38.87	26.91	A
LJIJ01007277.1	7580	92.59	75.35	A
LJIJ01007278.1	7576	102.33	21.93	A
LJIJ01007279.1	7575	77.28	54.12	A
LJIJ01007280.1	7574	55.56	22.85	A
LJIJ01007281.1	7574	68.62	31.48	A
LJIJ01007282.1	7572	36.92	29.76	A
LJIJ01007283.1	7570	11.84	21.51	X
LJIJ01007284.1	7569	25.46	48.18	X
LJIJ01007285.1	7566	96.69	33.24	A
LJIJ01007286.1	7566	72.94	46.01	A
LJIJ01007287.1	7565	101.14	65.77	A
LJIJ01007288.1	7564	142.60	43.97	A
LJIJ01007289.1	7563	17.13	114.22	X
LJIJ01007290.1	7561	76.99	43.60	A
LJIJ01007291.1	7556	100.32	19.13	A
LJIJ01007292.1	7554	141.02	86.21	A
LJIJ01007293.1	7552	52.26	20.14	A
LJIJ01007294.1	7550	112.99	57.28	A
LJIJ01007295.1	7547	449.72	366.22	A
LJIJ01007296.1	7543	28.43	19.03	A
LJIJ01007297.1	7543	18.90	43.99	X
LJIJ01007298.1	7542	10.72	13.05	X
LJIJ01007299.1	7539	37.62	37.14	X
LJIJ01007300.1	7535	1078.07	720.32	A
LJIJ01007301.1	7532	26.67	28.83	X
LJIJ01007302.1	7519	17.97	12.41	A
LJIJ01007303.1	7519	55.16	22.12	A
LJIJ01007304.1	7518	114.66	74.90	A
LJIJ01007305.1	7513	91.51	13.55	A
LJIJ01007306.1	7512	46.98	39.76	X
LJIJ01007307.1	7511	43.57	27.60	A
LJIJ01007308.1	7511	38.91	32.06	A
LJIJ01007309.1	7509	0.12	12.83	X
LJIJ01007310.1	7509	59.60	36.77	A
LJIJ01007311.1	7506	131.32	61.41	A
LJIJ01007312.1	7506	27.02	18.23	A
LJIJ01007313.1	7506	71.67	39.21	A
LJIJ01007314.1	7504	100.79	53.81	A
LJIJ01007315.1	7499	61.98	49.53	A
LJIJ01007316.1	7498	51.80	19.76	A
LJIJ01007317.1	7496	28.20	11.42	A
LJIJ01007318.1	7495	60.81	26.38	A
LJIJ01007319.1	7495	53.83	36.91	A
LJIJ01007320.1	7493	119.56	30.01	A
LJIJ01007321.1	7492	79.69	38.38	A
LJIJ01007322.1	7483	52.24	17.57	A
LJIJ01007323.1	7483	48.40	34.72	A
LJIJ01007324.1	7482	554.31	225.38	A
LJIJ01007325.1	7481	83.57	25.19	A
LJIJ01007326.1	7481	817.61	36.54	A
LJIJ01007327.1	7481	32.33	11.63	A
LJIJ01007328.1	7477	118.34	64.37	A
LJIJ01007329.1	7474	55.70	15.64	A
LJIJ01007330.1	7466	115.93	44.08	A
LJIJ01007331.1	7460	139.40	19.38	A
LJIJ01007332.1	7456	25.23	36.06	X
LJIJ01007333.1	7456	92.64	20.35	A
LJIJ01007334.1	7455	33.26	15.66	A
LJIJ01007335.1	7450	42.01	76.59	X
LJIJ01007336.1	7450	41.51	26.46	A
LJIJ01007337.1	7445	102.67	37.78	A
LJIJ01007338.1	7445	6.32	23.46	X
LJIJ01007339.1	7443	51.81	24.96	A
LJIJ01007340.1	7441	70.72	27.34	A
LJIJ01007341.1	7441	19.55	28.00	X
LJIJ01007342.1	7440	68.32	73.81	X
LJIJ01007343.1	7436	140.83	92.78	A
LJIJ01007344.1	7435	72.34	12.02	A
LJIJ01007345.1	7434	25.55	28.14	X
LJIJ01007346.1	7431	110.06	55.59	A
LJIJ01007347.1	7430	108.93	40.90	A
LJIJ01007348.1	7426	21.52	18.38	X
LJIJ01007349.1	7425	50.91	37.11	A
LJIJ01007350.1	7421	110.72	31.19	A
LJIJ01007351.1	7417	5.60	32.46	X
LJIJ01007352.1	7416	31.19	34.37	X
LJIJ01007353.1	7414	100.55	43.00	A
LJIJ01007354.1	7413	125.23	70.45	A
LJIJ01007355.1	7413	91.37	59.48	A
LJIJ01007356.1	7412	131.55	80.01	A
LJIJ01007357.1	7411	32.47	21.97	A
LJIJ01007358.1	7410	9.15	79.71	X
LJIJ01007359.1	7409	4.53	46.14	X
LJIJ01007360.1	7407	36.19	16.73	A
LJIJ01007361.1	7407	24.21	9.75	A
LJIJ01007362.1	7405	76.01	50.33	A
LJIJ01007363.1	7401	12.35	22.83	X
LJIJ01007364.1	7399	36.95	9.19	A
LJIJ01007365.1	7399	102.16	71.89	A
LJIJ01007366.1	7398	0.07	17.78	X
LJIJ01007367.1	7397	44.94	26.25	A
LJIJ01007368.1	7396	0.30	30.39	X
LJIJ01007369.1	7395	139.23	41.30	A
LJIJ01007370.1	7393	19.38	38.04	X
LJIJ01007371.1	7389	61.71	58.87	X
LJIJ01007372.1	7389	85.25	31.87	A
LJIJ01007373.1	7386	104.46	57.04	A
LJIJ01007374.1	7385	107.01	56.99	A
LJIJ01007375.1	7382	9.31	25.41	X
LJIJ01007376.1	7380	129.96	86.13	A
LJIJ01007377.1	7378	75.19	32.77	A
LJIJ01007378.1	7373	52.29	12.08	A
LJIJ01007379.1	7369	66.58	35.85	A
LJIJ01007380.1	7369	27.52	12.79	A
LJIJ01007381.1	7367	73.68	48.78	A
LJIJ01007382.1	7366	78.61	43.90	A
LJIJ01007383.1	7361	75.59	54.20	A
LJIJ01007384.1	7357	170.34	72.36	A
LJIJ01007385.1	7357	119.43	36.29	A
LJIJ01007386.1	7356	95.88	56.61	A
LJIJ01007387.1	7354	29.33	82.32	X
LJIJ01007388.1	7352	37.87	15.81	A
LJIJ01007389.1	7351	129.29	63.93	A
LJIJ01007390.1	7351	7.42	54.98	X
LJIJ01007391.1	7348	61.21	42.82	A
LJIJ01007392.1	7348	21.89	61.10	X
LJIJ01007393.1	7348	52.60	25.19	A
LJIJ01007394.1	7340	94.83	35.31	A
LJIJ01007395.1	7339	41.16	12.99	A
LJIJ01007396.1	7338	54.76	15.11	A
LJIJ01007397.1	7334	33.33	25.83	A
LJIJ01007398.1	7334	25.97	28.22	X
LJIJ01007399.1	7331	62.11	36.45	A
LJIJ01007400.1	7329	137.05	24.11	A
LJIJ01007401.1	7326	128.95	51.62	A
LJIJ01007402.1	7323	52.11	22.35	A
LJIJ01007403.1	7315	31.36	7.18	A
LJIJ01007404.1	7314	61.13	8.49	A
LJIJ01007405.1	7312	102.13	77.40	A
LJIJ01007406.1	7311	65.71	45.94	A
LJIJ01007407.1	7307	33.73	31.95	X
LJIJ01007408.1	7305	1108.91	707.87	A
LJIJ01007409.1	7304	36.97	24.00	A
LJIJ01007410.1	7301	7.59	39.35	X
LJIJ01007411.1	7301	75.72	43.02	A
LJIJ01007412.1	7297	0.79	13.46	X
LJIJ01007413.1	7295	21.28	38.73	X
LJIJ01007414.1	7293	65.76	38.27	A
LJIJ01007415.1	7285	60.22	20.46	A
LJIJ01007416.1	7285	40.88	29.86	A
LJIJ01007417.1	7283	252.08	56.13	A
LJIJ01007418.1	7278	60.04	8.96	A
LJIJ01007419.1	7278	46.92	26.56	A
LJIJ01007420.1	7277	69.84	59.75	X
LJIJ01007421.1	7272	56.96	32.57	A
LJIJ01007422.1	7267	48.05	26.52	A
LJIJ01007423.1	7263	41.79	31.48	A
LJIJ01007424.1	7262	48.97	17.29	A
LJIJ01007425.1	7259	34.28	26.56	A
LJIJ01007426.1	7259	41.43	7.20	A
LJIJ01007427.1	7256	94.20	43.97	A
LJIJ01007428.1	7247	8.18	20.24	X
LJIJ01007429.1	7246	59.21	27.28	A
LJIJ01007430.1	7244	26.76	15.25	A
LJIJ01007431.1	7243	13.43	13.55	X
LJIJ01007432.1	7243	98.40	26.10	A
LJIJ01007433.1	7242	30.72	21.88	A
LJIJ01007434.1	7242	305.27	357.00	X
LJIJ01007435.1	7240	60.42	30.50	A
LJIJ01007436.1	7238	243.61	87.91	A
LJIJ01007437.1	7237	86.13	37.09	A
LJIJ01007438.1	7236	86.49	47.40	A
LJIJ01007439.1	7230	55.72	36.54	A
LJIJ01007440.1	7229	98.04	50.61	A
LJIJ01007441.1	7222	43.89	59.46	X
LJIJ01007442.1	7221	53.16	48.19	X
LJIJ01007443.1	7216	53.65	24.51	A
LJIJ01007444.1	7213	574.90	281.10	A
LJIJ01007445.1	7206	53.44	88.30	X
LJIJ01007446.1	7205	101.33	25.72	A
LJIJ01007447.1	7205	121.98	65.72	A
LJIJ01007448.1	7204	175.85	47.86	A
LJIJ01007449.1	7202	33.80	33.76	X
LJIJ01007450.1	7201	44.10	18.16	A
LJIJ01007451.1	7198	23.35	21.44	X
LJIJ01007452.1	7195	35.57	17.99	A
LJIJ01007453.1	7191	57.16	25.37	A
LJIJ01007454.1	7190	24.35	30.83	X
LJIJ01007455.1	7190	102.40	113.24	X
LJIJ01007456.1	7189	44.70	48.17	X
LJIJ01007457.1	7184	154.66	51.41	A
LJIJ01007458.1	7184	4.48	78.75	X
LJIJ01007459.1	7183	52.07	27.40	A
LJIJ01007460.1	7180	131.60	55.02	A
LJIJ01007461.1	7169	91.85	35.15	A
LJIJ01007462.1	7168	18.90	18.60	X
LJIJ01007463.1	7167	72.66	42.50	A
LJIJ01007464.1	7165	45.87	44.70	X
LJIJ01007465.1	7162	144.44	58.46	A
LJIJ01007466.1	7160	70.21	36.59	A
LJIJ01007467.1	7160	64.17	10.22	A
LJIJ01007468.1	7158	86.65	102.58	X
LJIJ01007469.1	7157	105.24	54.37	A
LJIJ01007470.1	7157	96.53	20.13	A
LJIJ01007471.1	7153	0.97	11.64	X
LJIJ01007472.1	7153	144.30	108.24	A
LJIJ01007473.1	7153	875.58	277.45	A
LJIJ01007474.1	7152	75.56	37.88	A
LJIJ01007475.1	7151	57.31	54.56	X
LJIJ01007476.1	7147	52.78	32.34	A
LJIJ01007477.1	7147	22.59	32.13	X
LJIJ01007478.1	7145	21.73	65.61	X
LJIJ01007479.1	7144	17.85	17.80	X
LJIJ01007480.1	7144	97.34	34.36	A
LJIJ01007481.1	7142	107.92	63.01	A
LJIJ01007482.1	7135	14.36	9.70	A
LJIJ01007483.1	7131	23.86	24.27	X
LJIJ01007484.1	7126	203.77	57.56	A
LJIJ01007485.1	7126	35.88	27.81	A
LJIJ01007486.1	7126	33.26	8.69	A
LJIJ01007487.1	7124	115.58	64.30	A
LJIJ01007488.1	7124	107.23	25.49	A
LJIJ01007489.1	7123	87.56	43.53	A
LJIJ01007490.1	7119	40.57	43.91	X
LJIJ01007491.1	7117	143.97	64.47	A
LJIJ01007492.1	7117	118.77	42.65	A
LJIJ01007493.1	7112	41.86	17.58	A
LJIJ01007494.1	7111	15.01	7.08	A
LJIJ01007495.1	7106	129.48	37.09	A
LJIJ01007496.1	7105	44.02	29.58	A
LJIJ01007497.1	7104	57.68	27.98	A
LJIJ01007498.1	7100	40.24	31.47	A
LJIJ01007499.1	7098	93.76	73.68	A
LJIJ01007500.1	7094	15.22	23.03	X
LJIJ01007501.1	7090	49.85	13.91	A
LJIJ01007502.1	7089	59.33	34.16	A
LJIJ01007503.1	7087	21.44	10.92	A
LJIJ01007504.1	7085	93.71	35.37	A
LJIJ01007505.1	7083	76.21	9.26	A
LJIJ01007506.1	7083	10.75	21.31	X
LJIJ01007507.1	7082	45.31	33.12	A
LJIJ01007508.1	7082	43.77	35.79	A
LJIJ01007509.1	7079	82.38	87.73	X
LJIJ01007510.1	7079	17.39	32.33	X
LJIJ01007511.1	7077	25.88	20.83	A
LJIJ01007512.1	7072	48.08	13.75	A
LJIJ01007513.1	7069	66.73	46.57	A
LJIJ01007514.1	7066	14.06	8.59	A
LJIJ01007515.1	7065	30.96	44.37	X
LJIJ01007516.1	7063	23.71	52.08	X
LJIJ01007517.1	7062	61.22	26.82	A
LJIJ01007518.1	7060	50.17	40.15	A
LJIJ01007519.1	7059	5.21	19.77	X
LJIJ01007520.1	7058	78.43	34.65	A
LJIJ01007521.1	7053	55.72	27.76	A
LJIJ01007522.1	7052	23.75	19.66	A
LJIJ01007523.1	7047	44.75	30.29	A
LJIJ01007524.1	7047	136.03	182.90	X
LJIJ01007525.1	7045	123.66	67.02	A
LJIJ01007526.1	7045	111.07	59.63	A
LJIJ01007527.1	7044	72.74	81.88	X
LJIJ01007528.1	7043	51.86	32.66	A
LJIJ01007529.1	7041	36.85	29.59	A
LJIJ01007530.1	7040	43.65	46.28	X
LJIJ01007531.1	7040	34.26	16.48	A
LJIJ01007532.1	7039	58.44	57.96	X
LJIJ01007533.1	7038	13.25	20.44	X
LJIJ01007534.1	7035	35.04	49.18	X
LJIJ01007535.1	7032	91.92	42.60	A
LJIJ01007536.1	7032	237.32	240.85	X
LJIJ01007537.1	7032	335.88	251.97	A
LJIJ01007538.1	7029	13.08	6.24	A
LJIJ01007539.1	7029	49.04	38.93	A
LJIJ01007540.1	7024	32.59	29.64	X
LJIJ01007541.1	7022	80.70	19.14	A
LJIJ01007542.1	7018	60.61	37.19	A
LJIJ01007543.1	7017	62.22	39.86	A
LJIJ01007544.1	7015	40.88	11.58	A
LJIJ01007545.1	7014	92.28	554.45	X
LJIJ01007546.1	7013	10.26	57.54	X
LJIJ01007547.1	7013	84.80	37.63	A
LJIJ01007548.1	7011	53.96	23.86	A
LJIJ01007549.1	7011	47.38	50.72	X
LJIJ01007550.1	7010	40.21	20.50	A
LJIJ01007551.1	7007	94.08	50.84	A
LJIJ01007552.1	7006	36.78	0.68	A
LJIJ01007553.1	7006	71.84	49.17	A
LJIJ01007554.1	7001	40.10	46.93	X
LJIJ01007555.1	7000	17.90	12.23	A
LJIJ01007556.1	6994	76.35	72.16	X
LJIJ01007557.1	6991	94.96	33.72	A
LJIJ01007558.1	6988	50.21	27.16	A
LJIJ01007559.1	6988	23.04	17.07	A
LJIJ01007560.1	6984	75.30	24.17	A
LJIJ01007561.1	6973	9.76	12.96	X
LJIJ01007562.1	6971	47.47	26.02	A
LJIJ01007563.1	6970	73.24	26.04	A
LJIJ01007564.1	6967	24.48	88.95	X
LJIJ01007565.1	6966	50.96	37.75	A
LJIJ01007566.1	6964	35.20	20.75	A
LJIJ01007567.1	6962	68.18	12.00	A
LJIJ01007568.1	6959	70.95	40.26	A
LJIJ01007569.1	6955	114.58	33.74	A
LJIJ01007570.1	6953	55.28	29.91	A
LJIJ01007571.1	6952	36.91	32.26	X
LJIJ01007572.1	6951	137.55	54.22	A
LJIJ01007573.1	6946	41.97	37.17	X
LJIJ01007574.1	6941	49.31	46.12	X
LJIJ01007575.1	6941	108.77	43.14	A
LJIJ01007576.1	6940	36.61	17.79	A
LJIJ01007577.1	6938	34.80	25.58	A
LJIJ01007578.1	6935	36.56	35.49	X
LJIJ01007579.1	6935	11.68	5.04	A
LJIJ01007580.1	6932	86.86	29.03	A
LJIJ01007581.1	6929	42.62	16.94	A
LJIJ01007582.1	6928	58.61	30.66	A
LJIJ01007583.1	6928	51.98	46.35	X
LJIJ01007584.1	6927	123.90	60.15	A
LJIJ01007585.1	6925	186.33	28.11	A
LJIJ01007586.1	6922	70.95	75.32	X
LJIJ01007587.1	6921	8.34	83.62	X
LJIJ01007588.1	6921	156.20	56.40	A
LJIJ01007589.1	6921	34.21	36.12	X
LJIJ01007590.1	6920	17.03	5.73	A
LJIJ01007591.1	6915	67.00	35.51	A
LJIJ01007592.1	6901	73.42	41.07	A
LJIJ01007593.1	6901	75.84	18.39	A
LJIJ01007594.1	6900	54.37	9.69	A
LJIJ01007595.1	6899	788.82	44.33	A
LJIJ01007596.1	6899	82.55	35.32	A
LJIJ01007597.1	6895	121.02	43.29	A
LJIJ01007598.1	6891	60.02	20.78	A
LJIJ01007599.1	6890	74.75	44.30	A
LJIJ01007600.1	6889	34.77	40.45	X
LJIJ01007601.1	6886	36.36	25.68	A
LJIJ01007602.1	6885	69.83	30.05	A
LJIJ01007603.1	6884	66.91	40.70	A
LJIJ01007604.1	6878	144.93	25.08	A
LJIJ01007605.1	6877	62.16	30.74	A
LJIJ01007606.1	6875	68.39	49.80	A
LJIJ01007607.1	6868	36.64	12.91	A
LJIJ01007608.1	6867	35.78	35.51	X
LJIJ01007609.1	6864	72.67	39.11	A
LJIJ01007610.1	6863	57.29	17.43	A
LJIJ01007611.1	6862	38.81	22.97	A
LJIJ01007612.1	6862	36.45	37.12	X
LJIJ01007613.1	6860	44.22	6.52	A
LJIJ01007614.1	6860	107.21	38.33	A
LJIJ01007615.1	6859	13.22	20.71	X
LJIJ01007616.1	6857	47.75	37.43	A
LJIJ01007617.1	6854	103.17	38.31	A
LJIJ01007618.1	6852	143.91	72.40	A
LJIJ01007619.1	6852	63.62	35.84	A
LJIJ01007620.1	6851	44.64	41.59	X
LJIJ01007621.1	6847	66.06	30.09	A
LJIJ01007622.1	6843	98.27	39.93	A
LJIJ01007623.1	6841	75.67	45.32	A
LJIJ01007624.1	6841	77.84	35.29	A
LJIJ01007625.1	6840	67.51	28.74	A
LJIJ01007626.1	6839	79.20	80.67	X
LJIJ01007627.1	6836	180.49	61.01	A
LJIJ01007628.1	6833	26.05	111.11	X
LJIJ01007629.1	6827	82.48	46.81	A
LJIJ01007630.1	6824	14.28	48.59	X
LJIJ01007631.1	6823	37.41	26.49	A
LJIJ01007632.1	6822	64.23	34.62	A
LJIJ01007633.1	6818	53.70	26.77	A
LJIJ01007634.1	6818	184.29	66.60	A
LJIJ01007635.1	6816	59.92	35.14	A
LJIJ01007636.1	6814	78.93	73.28	X
LJIJ01007637.1	6813	35.24	20.79	A
LJIJ01007638.1	6813	76.88	16.40	A
LJIJ01007639.1	6810	308.29	249.65	A
LJIJ01007640.1	6807	30.04	41.39	X
LJIJ01007641.1	6805	55.66	16.42	A
LJIJ01007642.1	6803	27.59	24.02	X
LJIJ01007643.1	6800	78.11	57.91	A
LJIJ01007644.1	6800	76.18	68.18	X
LJIJ01007645.1	6800	11.34	36.30	X
LJIJ01007646.1	6798	32.92	46.05	X
LJIJ01007647.1	6795	42.94	17.83	A
LJIJ01007648.1	6795	41.00	9.05	A
LJIJ01007649.1	6793	58.16	58.71	X
LJIJ01007650.1	6792	38.68	13.93	A
LJIJ01007651.1	6792	119.38	29.22	A
LJIJ01007652.1	6792	142.77	40.38	A
LJIJ01007653.1	6789	57.26	26.38	A
LJIJ01007654.1	6786	23.03	60.30	X
LJIJ01007655.1	6784	101.69	30.24	A
